"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"2353","Hypsipyla grandella","Lepidoptera","Pyralidae","Hypsipyla","grandella",9.45,NA,615.8,NA,"","8.66",9.09,NA,"","","","",7.74,NA,NA,"80.7",389.4,"","","","","",210.8,NA,NA,"73",351.3,NA,NA,NA,NA,"","191.5",NA,"","Taveras, R., L. Hilje, et al.",2004,"Development of Hypsipyla grandella (Zeller) (Lepidoptera: Pyralidae) in response to constant temperatures.","Neotropical Entomology","33"," 1-6","Costa Rica, Turrialba, 09¯52'N  83¯38'W","",9.45,33.429859,35.126413
"2355","Chrysoteuchia topiaria","Lepidoptera","Pyralidae","Chrysoteuchia","topiaria",9.36,NA,955.5,NA,"","9.4",6.8,NA,"","","","",9.8,NA,NA,"107",484,"","","","","",388,NA,NA,"110.3",412.1,NA,NA,NA,NA,"","433.1",NA,"","Roberts, S. L. and D. L. Mahr",1986,"Development of cranberry girdler, Chrysoteuchia topiaria (Lepidoptera: Pyralidae) in relation to temperature","Great Lakes Entomologist","19"," 85-90","USA, Wisconsin","",9.36,-88.7878678,43.7844397
"2356","Nomophila nearctica","Lepidoptera","Pyralidae","Nomophila","nearctica",10.9,NA,528.3,NA,"","8.9",11.5,NA,"","","","",9.2,NA,NA,"50",304,"","","","","",181,NA,NA,"46.7",325.5,43.4,45.3,39.7,55.6,"141.5","156.1",NA,"","Miller, F. D., Jr. and J. V. Maddox",1991,"Effect of temperature on development rate and survival of Nomophila nearctica (Lepidoptera: Pyralidae)","Great Lakes Entomologist","24"," 281-286","USA, Illinois","",10.9,-89.3985283,40.6331249
"2357","Ostrinia furnacalis","Lepidoptera","Pyralidae","Ostrinia","furnacalis",10.39,32,539.91,NA,"","10.38",10.06,10.88,"9.7","10.33","10.92","10.03",11.07,NA,NA,"79.15",336.73,"51.9","46.81","42.31","49.53","136.37",128.82,NA,NA,"83",318,NA,NA,NA,NA,"","139",NA,"","Li, Z., M. Lu, et al.",1998,"Temperature-dependent development of Asian corn borer Ostrinia furnacalis","Zoological Research","19"," 389-396","China, Yunnan, Yongde","",10.39,99.25934,24.018357
"2370","Ostrinia nubilalis","Lepidoptera","Pyralidae","Ostrinia","nubilalis",12.1,NA,396.6,NA,"","13.5",11.5,NA,"","","","",12.4,NA,NA,"44.7",254.4,"","","","","",101.1,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Matteson J.W., Decker G.C.",1965,"Development of the European corn borer at controlled constant and variable temperatures.","Journal of Economic Entomology","58","344-349","USA","",12.1,NA,NA
"2371","Ostrinia nubilalis","Lepidoptera","Pyralidae","Ostrinia","nubilalis",10.5,NA,480,NA,"","13.5",10.4,NA,"","","","",10.9,NA,NA,"44.3",279.4,"","","","","",119.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Matteson J.W., Decker G.C.",1965,"Development of the European corn borer at controlled constant and variable temperatures.","Journal of Economic Entomology","58","344-349","USA Ndakota","",10.5,-101.0020119,47.5514926
"2373","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",10.6,NA,513,NA,"","10",NA,NA,"","","","",11.8,NA,NA,"80",NA,"","","","","",135.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",10.6,-1.1743197,52.3555177
"2374","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",12.1,NA,458.8,NA,"","12.7",NA,NA,"","","","",12.8,NA,NA,"51.4",NA,"","","","","",121.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",12.1,-1.1743197,52.3555177
"2376","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",18,35,344,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Johnson, J. A., P. L. Wofford, and L. C. Whitehand",1992,"Effect of diet and temperature on development rates, survival, and reproduction of the Indianmeal moth (Lepidoptera: Pyralidae)","Journal of Economic Entomology","85","561-566","USA, California, Modesta ","lab studies)",18,-120.9968782,37.6390972
"2377","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",16.7,35,268.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Johnson, J. A., P. L. Wofford, and L. C. Whitehand",1992,"Effect of diet and temperature on development rates, survival, and reproduction of the Indianmeal moth (Lepidoptera: Pyralidae)","Journal of Economic Entomology","85","561-566","USA, California, Modesta ","lab studies)",16.7,-120.9968782,37.6390972
"2378","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",17.5,35,358.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Johnson, J. A., P. L. Wofford, and L. C. Whitehand",1992,"Effect of diet and temperature on development rates, survival, and reproduction of the Indianmeal moth (Lepidoptera: Pyralidae)","Journal of Economic Entomology","85","561-566","USA, California, Modesta ","lab studies)",17.5,-120.9968782,37.6390972
"2379","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",18,35,402.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Johnson, J. A., P. L. Wofford, and L. C. Whitehand",1992,"Effect of diet and temperature on development rates, survival, and reproduction of the Indianmeal moth (Lepidoptera: Pyralidae)","Journal of Economic Entomology","85","561-566","USA, California, Modesta ","lab studies)",18,-120.9968782,37.6390972
"2380","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",13,NA,458.4,NA,"","10.5",14.3,NA,"","","","",7.4,NA,NA,"82.1",257.4,"","","","","",142.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Mbata G.N.",1987,"Studies on induction of larval diapause in a Nigerian strain of Plodia interpunctella (Hubner) (Lepidoptera: Pyralidae).","Insect Science and its Application","8","317-322","Nigeria kono","",13,8.5919561,12.0021794
"2385","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",12.2,NA,414.5,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Swatonek F.",1975,"Beobachtungen uber die Lebensweise der Dorrobstmotte, Plodia interpunctella Hbn., und Untersuchungen uber die Entwicklung dieses Vorratschadlinges bei drei verschiedenen Temperaturen.","Bodenkultur","26","31-35","Austria","",12.2,14.550072,47.516231
"2386","Plodia interpunctella","Lepidoptera","Pyralidae","Plodia","interpunctella",14.4,NA,316.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Swatonek F.",1975,"Beobachtungen uber die Lebensweise der Dorrobstmotte, Plodia interpunctella Hbn., und Untersuchungen uber die Entwicklung dieses Vorratschadlinges bei drei verschiedenen Temperaturen.","Bodenkultur","26","31-35","Austria","",14.4,14.550072,47.516231
"2387","Pyrausta panopealis","Lepidoptera","Pyralidae","Pyrausta","panopealis",13.1,NA,315.2,NA,"","11.7",12.7,NA,"","","","",13.5,NA,NA,"55",189.9,"","","","","",91.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yanagida, K., H. Kamiwada, et al.",1996,"Biological studies of insects feeding on perilla, Perilla frutescens Britt., in Kagoshima prefecture.","Bulletin of the Faculty of Agriculture, Kagoshima University","","15-30","Japan","",13.1,138.252924,36.204824
"2388","Scirpophaga incertulas","Lepidoptera","Pyralidae","Scirpophaga","incertulas",11.81,NA,516,NA,"","12.52",9.88,NA,"","","","",8.17,NA,NA,"61.37",387.1,"","","","","",108.12,NA,NA,"91.3",329.1,NA,NA,NA,NA,"","95.6",NA,"","Rahman, M. T. and M. Khalequzzaman",2004,"Temperature requirements for the development and survival of rice stemborers in laboratory conditions.","Entomologia Sinica","11","47-60","Bangledesh","",11.81,90.356331,23.684994
"2390","Scirpophaga innotata","Lepidoptera","Pyralidae","Scirpophaga","innotata",10.82,NA,594.6,NA,"","11.27",8.72,NA,"","","","",5.92,NA,NA,"77.83",434.15,"","","","","",143.36,NA,NA,"108.4",373.3,NA,NA,NA,NA,"","112.9",NA,"","Rahman, M. T. and M. Khalequzzaman",2004,"Temperature requirements for the development and survival of rice stemborers in laboratory conditions.","Entomologia Sinica","11","47-60","Bangledesh","",10.82,90.356331,23.684994
"2391","Spoladea recurvalis","Lepidoptera","Pyralidae","Spoladea","recurvalis",11.6,NA,313.6,NA,"","9.8",10.9,NA,"","","","",13,NA,NA,"48.8",158.4,"","","","","",104.9,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yamada, H. and Koshihara, T.",1976,"Development of the Hawaiian beet webworm, Hymenia recurvalis (Fabricius) (Lepidoptera: Pyralidae). ","Japanese Journal of Applied Entomology and Zoology","20","213-214","?? Japan","",11.6,138.252924,36.204824
"2392","Udea ferrugalis","Lepidoptera","Pyralidae","Udea","ferrugalis",12.56,NA,305,329.9,"","9.5",9.6,NA,"","","","",11.9,NA,NA,"87.9",200.9,"","","","","",119.7,NA,NA,"60.3",137.4,NA,NA,NA,NA,"","107.3",24.9,"39,90","Lee, K., K. Ahn, et al.",2002,"Effects of temperature on reproduction and development of Udea ferrugalis (Lepidoptera: Pyralidae)","Korean Journal of Applied Entomology","41","205-209","Korean Republic","",12.56,118.1257661,24.4975048
"2393","Attacus ricini","Lepidoptera","Saturniidae","Attacus","ricini",7,NA,1005.6,NA,"","10.3",2.4,NA,"","","","",9.6,NA,NA,"142.9",659.9,"","","","","",263.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Gomaa A.A.",1973,"Biological studies on the Eri silkworm Attacus ricini Boisd. (Lepidoptera: Saturinidae).","Zeitschrift fur Angewandte Entomologie","74","120-126","Egypt","",7,NA,NA
"2407","Hemileuca oliviae","Lepidoptera","Saturniidae","Hemileuca","oliviae",12.5,NA,317,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Mendel M.J., Shaw P.B., Owens J.C., Richman D.B.",1989,"Developmental rates, thresholds and thermal constants of the egg parasitoid Anastatus semiflavidus (Hymenoptera: Eupelmidae) and its host Hemileuca oliviae (Lepidoptera: Saturniidae).","Journal of the Kansas Entomological Society","62","300-306","USA Maine","",12.5,-76.0610361,42.1925746
"2415","Dasyses rugosella","Lepidoptera","Tineidae","Dasyses","rugosella",14.9,NA,661.18,NA,"","14.9",15.48,NA,"","","","",11.81,NA,NA,"71.04",435.85,"","","","","",165.97,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ashamo, M.O. and Odeyemi, O.O.",2004,"Effect of temperature on the development of the yam moth, Dasyses rugosella Stainton. (Lepidoptera: Tineidae). ","Journal of Stored Products Research","40","95-102","Nigeria 7¯N","",14.9,33.429859,35.126413
"2421","Adoxophyes orana","Lepidoptera","Tortricidae","Adoxophyes","orana",6.81,NA,501.7,NA,"larvae- 3rd instar","6.2",NA,5.3,"7.1","6.2","5.7","4.9",6.5,NA,NA,"333.3",NA,"90.9","50","55.5","71.4","200",124.72,NA,NA,"-",380.65,NA,NA,NA,NA,"","121.06",NA,"","Milonas, P. G. and M. Savopoulou-Soultani",2000,"Development, survivorship, and reproduction of Adoxophyes orana (Lepidoptera: Tortricidae) at constant temperatures","Annals of the Entomological Society of America","93","96-102","Greece, north","",6.81,NA,NA
"2422","Ancylis comptana","Lepidoptera","Tortricidae","Ancylis","comptana",10.5,NA,415.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Gabriel, A. D. and J. J. Obrycki",1990,"Thermal requirements for preimaginal development of the strawberry leafroller (Lepidoptera: Tortricidae)","Environmental Entomology","19"," 339-344","USA Iowa","",10.5,NA,NA
"2423","Ancylis comptana","Lepidoptera","Tortricidae","Ancylis","comptana",10.6,NA,411.8,NA,"","10.5",10.3,NA,"","","","",11,NA,NA,"76.5",237.5,"","","","","",99.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Gabriel, A. D. and J. J. Obrycki",1990,"Thermal requirements for preimaginal development of the strawberry leafroller (Lepidoptera: Tortricidae)","Environmental Entomology","19"," 339-344","USA Iowa","",10.6,NA,NA
"2424","Ancylis comptana","Lepidoptera","Tortricidae","Ancylis","comptana",10.7,NA,391.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Gabriel, A. D. and J. J. Obrycki",1990,"Thermal requirements for preimaginal development of the strawberry leafroller (Lepidoptera: Tortricidae)","Environmental Entomology","19"," 339-344","USA Iowa","",10.7,NA,NA
"2426","Argyrotaenia citrana","Lepidoptera","Tortricidae","Argyrotaenia","citrana",6.1,25.6,646.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"135",363.3,NA,NA,NA,NA,"","147.8",NA,"","Bettiga, L. J., H. Kido, and N. F. McCalley",1992,"Orange Tortrix","In: Grape Pest Management. 2nd. Edition. U.C. Div. Agr. Sci. Publ. #4105","","-","USA, California ","field studies)",6.1,-76.5074542,38.3004029
"2427","Argyrotaenia pulchellana","Lepidoptera","Tortricidae","Argyrotaenia","pulchellana",8.5,NA,532.3,NA,"","8.4",8.6,NA,"","","","",8.1,NA,NA,"125.8",291.7,"","","","","",125.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tiso R., DeBernardis E., Butturini A., Briolini G.",1991,"Influenza della temperatura sullo sviluppo di Argyrotaenia pulchellana (Hw.) (Lepidoptera: Tortricidae).","Boll. Ist. Entomol. ""G. Grandi"" Univ. Bologna","46","161 - 172","Italy Bologna ","lab)",8.5,NA,NA
"2428","Argyrotaenia sphaleropa","Lepidoptera","Tortricidae","Argyrotaenia","sphaleropa",11,NA,473.3,NA,"","10.8",10.9,NA,"","","","",10,NA,NA,"104.3",251.4,"","","","","",114.9,NA,NA,"107.2",255,NA,NA,NA,NA,"","111.1",NA,"","Manfredi Coimbra, S., M. S. Garcia, et al.",2001,"Thermal requirements and estimate of the number of generations of Argyrotaenia sphaleropa (Meyrick) (Lepidoptera: Tortricidae)","Neotropical Entomology","30","553-557","Brazil, RS, Pelotas","",11,NA,NA
"2429","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana",8,NA,697.1,NA,"","",6.3,NA,"","","","",10.1,NA,NA,"",471.4,"","","","","",122,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hawthorne D.J., Rock G.C., Stinner R.E.",1988,"Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina","Environmental Entomology","17"," 40-46","USA North Carolina","",8,NA,NA
"2430","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana",8.1,NA,649,NA,"","7.7",7,NA,"","","","",9.9,NA,NA,"126.7",410.7,"","","","","",123.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hawthorne D.J., Rock G.C., Stinner R.E.",1988,"Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina","Environmental Entomology","17"," 40-46","USA North Carolina","",8.1,NA,NA
"2431","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana",8.2,NA,611.4,NA,"","",7.4,NA,"","","","",9.5,NA,NA,"",360.2,"","","","","",129.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hawthorne D.J., Rock G.C., Stinner R.E.",1988,"Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina","Environmental Entomology","17"," 40-46","USA North Carolina","",8.2,NA,NA
"2432","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana",8,NA,696.5,NA,"","7.9",6.3,NA,"","","","",10.1,NA,NA,"126",471.4,"","","","","",122,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hawthorne, D. J., G. C. Rock, et al.",1988,"Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina","Environmental Entomology","17"," 40-46","USA North Carolina","",8,NA,NA
"2433","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana",8.2,NA,610.9,NA,"","7.9",7.4,NA,"","","","",9.5,NA,NA,"126",360.2,"","","","","",129.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hawthorne, D. J., G. C. Rock, et al.",1988,"Redbanded leafroller (Lepidoptera: Tortricidae): thermal requirements for development and simulation of within-season phenology in North Carolina","Environmental Entomology","17"," 40-46","USA North Carolina","",8.2,NA,NA
"2435","Cacoecimorpha pronubana","Lepidoptera","Tortricidae","Cacoecimorpha","pronubana",8.8,NA,665.2,NA,"","10.9",8.3,NA,"","","","",5.2,NA,NA,"121.5",392.6,"","","","","",193.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Quaglia F.",1983,"Sviluppo pre-imaginale di Cacoecimorpha pronubana (Hb.) (Lepidoptera: Tortricidae) a temperature costante.","Frustula Entomologica NS","6","293-314","Italy","",8.8,NA,NA
"2436","Cochylis hospes","Lepidoptera","Tortricidae","Cochylis","hospes",8.6,NA,737.6,NA,"","9.6",8.2,NA,"","","","",9.9,NA,NA,"74.6",483.4,"","","","","",177,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Barker, J. F. and J. W. Enz",1993,"Development of laboratory reared banded sunflower moth, Cochylis hospes Walsingham (Lepidoptera: Cochylidae), in relation to temperature","Journal of the Kansas Entomological Society ","66"," 420-426","USA Kansas lab.","",8.6,NA,NA
"2437","Crocidosema plebejana","Lepidoptera","Tortricidae","Crocidosema","plebejana",11,NA,391.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hamilton J.G., Zalucki M.P.",1991,"Effect of temperature on development rate, survival and fecundity of cotton tipworm, Crocidosema plebejana Zeller (Lepidoptera:Tortricidae).","Australian Journal of Zoology","38","191-200","Australia Brisbane","",11,153.0251235,-27.4697707
"2438","Crocidosema plebejana","Lepidoptera","Tortricidae","Crocidosema","plebejana",11.2,NA,369.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hamilton J.G., Zalucki M.P.",1991,"Effect of temperature on development rate, survival and fecundity of cotton tipworm, Crocidosema plebejana Zeller (Lepidoptera:Tortricidae).","Australian Journal of Zoology","38","191-200","Australia Brisbane","",11.2,153.0251235,-27.4697707
"2441","Cryptophlebia illepida","Lepidoptera","Tortricidae","Cryptophlebia","illepida",10.2,25.9,460.4,481,"","10.57",9.31,NA,"","","","",10.93,NA,NA,"57.02",287.27,"","","","","",125.85,NA,NA,"60.1",258.1,NA,NA,NA,NA,"","142.2",26.5,"","Jones, V. P., C. H. M. Tome, et al.",1997,"Life tables for the koa seedworm (Lepidoptera: Tortricidae) based on degree-day demography","Environmental Entomology","26"," 1291-1298","Hawaii; USA, Kainaliu","",10.2,NA,NA
"2445","Cryptophlebia leucotreta","Lepidoptera","Tortricidae","Cryptophlebia","leucotreta",12,40,405,433,"pupae","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"69",156,NA,NA,NA,NA,"","180",28,"","Diaber, C.",NA,"A study of the biology of the false codling moth (Cryptophlebia leucotreta (Meyr.)): the egg, the larva, the cocoon, the adult and generations during the year","Phytophylactica","","various","South Africa, Pretoria","",12,NA,NA
"2446","Ctenopseustis obliquana","Lepidoptera","Tortricidae","Ctenopseustis","obliquana",6.07,NA,840.56,NA,"","7.8",5.2,NA,"","","","",7.2,NA,NA,"105",538,"","","","","",186,NA,NA,"133.54",491,NA,NA,NA,NA,"","216.02",NA,"","Clare, G. K., S. Pritam, et al.",1990,"Use of day-degree estimates for rearing management of Ctenopseustis obliquana (Lepidoptera: Tortricidae) in the laboratory","New Zealand Journal of Zoology","17"," 567-575","New Zealand, Auckland","",6.07,NA,NA
"2450","Cydia pomonella","Lepidoptera","Tortricidae","Cydia","pomonella",10,31.1,588.9,621.1,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"87.8",261.7,NA,NA,NA,NA,"","239.4",32.2,"","Anon.",NA,"Codling Moth.","In: IPM for Apples and Pears. Uni. of California Statewide IPM Project. Div. Agr. Sci. Publ. #3340","","-","Poland","",10,NA,NA
